id,set,idset,option,origBlock,block,rotation,income,cov,acc1,acc2,bid,vote,choice,allNO,protNO,watercolor2018,respirr2018,watercolor2019,respirr2019,watercolor_1m,respirr_1m,sq,covacc1,covacc2,acc1acc2,cov12,acc175,acc1100,acc275,acc2100,cov12acc175,cov12acc1100,cov12acc275,cov12acc2100,cov12ec,acc175ec,acc1100ec,acc275ec,acc2100ec,cov12acc175ec,cov12acc1100ec,cov12acc275ec,cov12acc2100ec
5,3,19,3,5.3,5,3,42500,0,0,0,0,3,1,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,20,1,5.3,5,3,42500,12,50,50,5,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,600,600,2500,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
5,4,20,2,5.3,5,3,42500,12,100,100,35,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,1200,1200,10000,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
5,4,20,3,5.3,5,3,42500,0,0,0,0,3,1,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,21,1,5.3,5,3,30000,12,75,75,15,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,900,900,5625,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
6,1,21,2,5.3,5,3,30000,6,75,50,5,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,450,300,3750,0,1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,0,1,1
6,1,21,3,5.3,5,3,30000,0,0,0,0,3,1,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,22,1,5.3,5,3,30000,6,75,75,5,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,450,450,5625,0,1,0,1,0,0,0,0,0,-1,1,0,1,0,-1,0,-1,0
6,2,22,2,5.3,5,3,30000,6,100,100,35,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,600,600,10000,0,0,1,0,1,0,0,0,0,-1,0,1,0,1,0,-1,0,-1
6,2,22,3,5.3,5,3,30000,0,0,0,0,3,1,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,23,1,5.3,5,3,30000,6,100,50,35,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,600,300,5000,0,0,1,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,1,1
6,3,23,2,5.3,5,3,30000,6,75,75,25,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,450,450,5625,0,1,0,1,0,0,0,0,0,-1,1,0,1,0,-1,0,-1,0
6,3,23,3,5.3,5,3,30000,0,0,0,0,3,1,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,24,1,5.3,5,3,30000,12,50,50,5,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,600,600,2500,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,24,2,5.3,5,3,30000,12,100,100,35,3,0,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,0,1200,1200,10000,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
6,4,24,3,5.3,5,3,30000,0,0,0,0,3,1,1,1,1.83401834265985,1.13717468619461,2.04137996320402,1.0419823040415,1.70348589275301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,25,1,3.1,3,1,137500,12,100,100,25,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,1200,1200,10000,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
7,1,25,2,3.1,3,1,137500,6,100,100,15,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,600,600,10000,0,0,1,0,1,0,0,0,0,-1,0,1,0,1,0,-1,0,-1
7,1,25,3,3.1,3,1,137500,0,0,0,0,3,1,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,26,1,3.1,3,1,137500,12,100,50,35,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,1200,600,5000,1,0,1,0,0,0,1,0,0,1,0,1,-1,-1,0,1,-1,-1
7,2,26,2,3.1,3,1,137500,12,50,50,5,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,600,600,2500,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1
7,2,26,3,3.1,3,1,137500,0,0,0,0,3,1,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,27,1,3.1,3,1,137500,12,75,50,5,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,900,600,3750,1,1,0,0,0,1,0,0,0,1,1,0,-1,-1,1,0,-1,-1
7,3,27,2,3.1,3,1,137500,12,100,75,25,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,1200,900,7500,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0
7,3,27,3,3.1,3,1,137500,0,0,0,0,3,1,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,28,1,3.1,3,1,137500,6,50,50,5,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,300,300,2500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1
7,4,28,2,3.1,3,1,137500,6,75,75,35,3,0,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,0,450,450,5625,0,1,0,1,0,0,0,0,0,-1,1,0,1,0,-1,0,-1,0
7,4,28,3,3.1,3,1,137500,0,0,0,0,3,1,1,1,1.70260747164994,1.18107973709931,1.75038802928185,1.02496827882675,1.3294618108005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,29,1,1.4,1,4,42500,12,75,75,35,2,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,900,900,5625,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
8,1,29,2,1.4,1,4,42500,6,100,75,25,2,1,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,600,450,7500,0,0,1,1,0,0,0,0,0,-1,0,1,1,0,0,-1,-1,0
8,1,29,3,1.4,1,4,42500,0,0,0,0,2,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,30,1,1.4,1,4,42500,6,100,50,25,1,1,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,600,300,5000,0,0,1,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,1,1
8,2,30,2,1.4,1,4,42500,6,50,50,15,1,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,300,300,2500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1
8,2,30,3,1.4,1,4,42500,0,0,0,0,1,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,31,1,1.4,1,4,42500,12,100,75,25,2,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,1200,900,7500,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0
8,3,31,2,1.4,1,4,42500,6,100,100,5,2,1,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,600,600,10000,0,0,1,0,1,0,0,0,0,-1,0,1,0,1,0,-1,0,-1
8,3,31,3,1.4,1,4,42500,0,0,0,0,2,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,32,1,1.4,1,4,42500,12,100,50,15,1,1,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,1200,600,5000,1,0,1,0,0,0,1,0,0,1,0,1,-1,-1,0,1,-1,-1
8,4,32,2,1.4,1,4,42500,12,75,75,5,1,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,0,900,900,5625,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
8,4,32,3,1.4,1,4,42500,0,0,0,0,1,0,0,-999,1.81694767920299,1.13495489887509,2.02012292544706,1.04176129397772,1.7026011218763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,33,1,4.3,4,3,87500,6,75,50,15,3,0,1,1,1.94003361842693,1.60535160122706,1.76575806314468,1.04231793020597,1.87492308509063,1,0,450,300,3750,0,1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,0,1,1
9,1,33,2,4.3,4,3,87500,6,100,75,35,3,0,1,1,1.94003361842693,1.60535160122706,1.76575806314468,1.04231793020597,1.87492308509063,1,0,600,450,7500,0,0,1,1,0,0,0,0,0,-1,0,1,1,0,0,-1,-1,0
9,1,33,3,4.3,4,3,87500,0,0,0,0,3,1,1,1,1.94003361842693,1.60535160122706,1.76575806314468,1.04231793020597,1.87492308509063,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,34,1,4.3,4,3,87500,6,50,50,5,3,0,1,1,1.94003361842693,1.60535160122706,1.76575806314468,1.04231793020597,1.87492308509063,1,0,300,300,2500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1
9,2,34,2,4.3,4,3,87500,12,100,75,25,3,0,1,1,1.94003361842693,1.60535160122706,1.76575806314468,1.04231793020597,1.87492308509063,1,0,1200,900,7500,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0
9,2,34,3,4.3,4,3,87500,0,0,0,0,3,1,1,1,1.94003361842693,1.60535160122706,1.76575806314468,1.04231793020597,1.87492308509063,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,35,1,4.3,4,3,87500,12,75,50,35,3,0,1,1,1.94003361842693,1.60535160122706,1.76575806314468,1.04231793020597,1.87492308509063,1,0,900,600,3750,1,1,0,0,0,1,0,0,0,1,1,0,-1,-1,1,0,-1,-1
